Chunk_num,index 0,index 1,index 2,index 3,index 4,index 5,index 6,index 7,index 8,index 9,index 10,index 11,index 12,index 13,index 14,index 15,index 16,index 17,index 18,index 19,index 20,index 21,index 22,index 23,index 24,index 25,index 26,index 27,index 28,index 29,total time (ms),Received Size (MB),throughput (Mbit/s),QoE
16,25.23400000000464,25.5730000000014,25.570999999999344,25.53299999999581,25.725999999998805,25.798000000001764,25.472000000000605,25.390999999999053,25.47100000000313,25.636999999996135,25.59800000000223,25.426000000003057,25.41699999999736,25.455000000000894,25.39900000000017,25.351000000000568,25.996999999996717,25.29100000000284,25.28000000000219,25.495999999996855,25.33499999999833,25.33600000000291,25.7220000000018,25.570999999999344,25.376999999998873,25.321999999995626,25.498000000006016,25.365999999998223,25.44900000000183,25.382999999997935,0,0.0,915.66107459367,140
17,53.265000000003226,27.853999999997825,27.85700000000446,27.722999999994613,27.8290000000041,27.719999999995082,28.14400000000461,27.664000000001465,27.676999999997065,27.684999999998183,27.754999999999086,28.100000000002012,27.62700000000251,27.66499999999894,27.931999999999846,27.620999999996343,28.097999999999956,27.72700000000583,27.823999999995408,27.562000000003195,27.670000000000528,27.891999999994255,27.587000000004025,27.704999999997426,27.768999999999266,27.650000000001285,27.76099999999815,27.753000000004135,27.602999999999156,-1,0,0.0,842.6435413178202,140
18,36.45500000000368,41.76199999999852,41.97800000000029,41.84500000000213,41.86199999999474,42.18699999999842,41.897000000005846,41.5919999999943,41.872000000005016,41.550000000000864,42.023000000000366,41.728999999996574,41.36600000000357,42.298999999999864,41.0399999999953,42.09200000000379,41.44799999999549,41.717000000005555,41.537999999995634,41.5180000000035,42.2009999999986,41.56499999999852,41.5440000000018,41.676999999999964,41.64300000000054,41.58499999999776,41.54700000000133,41.43099999999578,41.56300000000357,-1,246.0613793103459,0.0,581.1414614545466,138.76969310344828
19,40.6329999999997,39.76899999999972,40.14999999999702,39.68499999999864,39.61699999999979,39.88600000000275,39.50600000000293,39.94199999999637,39.37799999999925,39.55500000000001,39.86000000000445,39.564999999996076,39.55900000000412,39.528999999994596,39.58200000000289,39.51800000000105,39.566000000000656,39.58799999999485,39.48199999999957,39.65400000000585,39.511999999994885,39.55500000000001,39.56800000000271,39.54399999999936,39.77700000000084,39.296999999997695,39.776000000003364,39.434999999997444,39.538000000000295,-1,189.6820689655141,0.0,608.6818906702994,139.05158965517245
20,41.691000000000145,38.041999999997245,38.03899999999771,38.285999999999376,37.60300000000427,38.267999999995084,37.888000000002364,38.17599999999999,37.71700000000067,37.84499999999724,37.867000000005646,37.956999999998686,37.866000000001065,37.824999999998,37.81699999999688,37.9740000000055,37.878999999996665,37.88600000000031,37.95300000000168,37.74999999999551,37.863000000001534,37.87100000000265,37.98299999999699,37.841000000000236,37.78100000000251,37.88300000000078,37.90000000000049,37.94800000000009,37.779999999997926,-1,141.21965517241097,0.0,634.5298451112665,139.29390172413792
21,23.80899999999997,24.202000000000055,24.215999999999905,24.429000000000034,24.051999999999964,24.66500000000005,23.926000000000002,24.333000000000048,23.995999999999906,24.130000000000095,24.362999999999914,24.393000000000107,23.89399999999986,24.10100000000015,24.004999999999832,24.434999999999985,24.03600000000017,24.022999999999904,24.088000000000108,24.101999999999848,24.065000000000005,24.42500000000014,24.11999999999992,23.94699999999994,24.12600000000009,24.076999999999906,24.03500000000003,24.04200000000012,24.11199999999991,24.049999999999905,0,0.0,966.5878207172912,140
22,44.64799999999958,44.91400000000034,52.810000000000024,44.486000000000026,44.6749999999998,45.275000000000176,44.70599999999969,43.94800000000032,44.72499999999968,44.41600000000001,44.54600000000042,44.793999999999556,44.45100000000046,44.50399999999988,44.67700000000008,44.40799999999978,44.41000000000006,44.464999999999755,45.35900000000037,43.76699999999989,44.36099999999943,44.55500000000079,44.40899999999992,44.603999999999644,44.45100000000046,44.71599999999931,44.38000000000031,44.53599999999991,44.4230000000001,44.469999999999565,344.8889999999991,0.0,520.4890515128018,138.275555
23,39.88699999999934,45.872000000000135,46.15700000000089,46.14899999999977,46.07700000000037,46.455999999999165,45.901000000000636,45.74799999999968,45.8160000000003,46.38699999999929,45.763000000000886,45.822999999998615,45.6070000000004,45.79700000000031,46.25500000000038,45.82199999999936,45.868000000000464,45.539999999999026,45.739000000001084,46.37400000000014,45.714999999999506,45.704999999999885,45.71100000000072,45.864999999999156,45.67500000000102,45.64099999999982,45.77499999999901,45.704999999999885,45.84100000000113,-1,370.34931034482764,0.0,528.4330977276621,138.14825344827585
24,24.874000000000507,24.799999999999045,24.877000000000038,24.955000000000283,24.92800000000095,25.20599999999895,24.688000000001153,24.817999999999785,24.763999999999342,24.76900000000093,25.07899999999985,24.727000000000388,24.72999999999992,24.74699999999963,24.668000000000134,24.630999999999403,25.182000000000926,24.699000000000026,24.780999999999054,24.63900000000052,24.817999999999785,24.530999999999636,25.05000000000024,24.88899999999994,24.677999999999756,24.715000000000487,24.69099999999891,24.76700000000065,24.57399999999943,-1,0,0.0,973.2021827534679,140
25,24.459999999999482,24.881000000000597,24.782999999999333,25.19500000000008,24.695000000001244,25.201999999998392,24.89600000000003,24.713000000000207,24.687000000000126,25.109999999999744,24.80900000000119,24.665999999999855,24.789000000000172,24.683999999998818,24.955000000000283,24.79100000000045,24.979999999999336,24.555000000001215,24.766999999998873,24.565000000000836,25.159999999999627,24.62200000000081,24.834999999999496,24.684999999999846,24.782999999999333,24.721000000001325,24.620999999999782,24.74199999999982,24.756,24.634999999999962,0,0.0,941.1853288030944,140
26,34.29700000000224,32.003999999997035,32.35000000000099,31.8259999999988,31.988000000001904,31.84299999999851,31.77800000000275,32.01599999999871,31.791999999999376,36.028000000001725,29.56000000000003,31.81199999999862,31.59000000000134,31.81199999999862,31.92200000000156,31.671999999996814,31.775000000003217,31.82999999999936,31.734999999997626,31.86200000000028,31.70599999999979,31.849000000001126,31.832000000001415,31.66599999999775,32.07599999999999,31.584999999999752,31.77800000000275,31.877999999998963,31.739999999999213,-1,0,0.0,754.6339917335233,140
27,44.10999999999987,42.66499999999951,42.94700000000162,42.483000000000715,42.42699999999999,48.42599999999919,42.500000000000426,42.43899999999812,42.65400000000241,42.32999999999976,42.40899999999925,42.63699999999915,42.47099999999904,42.35400000000311,42.42399999999691,42.47700000000165,42.22199999999887,42.308999999999486,42.38600000000048,42.42400000000046,42.36799999999974,42.43200000000158,42.294999999999305,42.476000000000624,42.36200000000068,42.251999999997736,42.3960000000001,42.50299999999996,42.30100000000192,42.368999999997214,280.8479999999991,0.0,546.5129351804434,138.59575999999998
28,25.023000000000906,25.462000000000984,25.526999999996747,25.713000000003206,25.581999999999994,25.78799999999859,25.521000000001237,25.437000000000154,25.43099999999754,25.482000000000227,25.769000000000375,25.52000000000021,25.351000000000568,25.32399999999768,25.412000000002877,25.75599999999767,25.42100000000147,25.424999999998477,25.430000000000064,25.330000000000297,25.463000000002012,25.745000000000573,27.421999999997837,23.38400000000007,25.445000000001272,25.286999999998727,25.449999999999307,25.398000000002696,25.44399999999669,-1,0,0.0,947.5567924931864,140
29,28.494999999999493,30.55800000000275,31.13299999999697,30.354000000002657,30.64600000000084,31.16499999999789,30.537999999999954,30.4789999999997,30.55400000000219,30.643999999998783,30.82600000000113,30.42299999999898,30.734999999999957,30.50400000000053,30.311999999998562,30.550999999999107,30.951000000001727,30.46099999999896,30.39500000000217,30.459999999997933,30.47499999999914,30.902000000001095,30.675999999999704,30.266000000001014,30.981999999998067,30.08000000000166,30.498999999998944,30.51800000000071,30.390000000000583,30.519999999999214,0,0.0,764.6161845215469,140
30,34.1189999999969,11.575999999998032,26.608000000003074,26.393999999996254,27.101000000001818,26.53200000000311,26.714999999995825,26.478000000004442,26.824999999995214,26.62600000000026,26.48800000000051,26.603000000001487,26.637999999998385,27.371000000002255,26.665999999998746,26.572000000001594,26.625000000002785,26.366999999993368,26.51400000000592,26.630999999994742,26.519000000000403,26.492000000004623,27.290999999998178,26.499999999998636,26.566000000002532,26.40699999999896,26.629999999997267,26.695000000003688,26.416999999995028,-1,0,0.0,915.0733496652209,140
31,39.25199999999762,38.64500000000248,37.942999999998506,38.06400000000565,37.967999999999336,68.74899999999684,37.750000000002615,37.86399999999901,38.140999999995984,37.89400000000143,37.942999999998506,38.14100000000309,37.69299999999731,37.76500000000027,37.92200000000179,37.90800000000161,37.96899999999681,37.79800000000222,37.81399999999735,37.98900000000316,37.75100000000009,37.89400000000143,37.94899999999757,37.91199999999861,37.747000000003084,37.89700000000096,37.90999999999656,38.0660000000006,37.61000000000081,-1,170.980689655174,0.0,618.4029655072487,139.14509655172412
32,34.89300000000384,33.12100000000129,33.647999999999456,32.90599999999699,33.127999999997826,33.21300000000349,32.88099999999616,32.9280000000054,34.04499999999899,33.037000000000205,32.947999999997535,33.20399999999779,32.96100000000024,32.97700000000248,32.963000000002296,32.899000000000456,33.00799999999526,32.94800000000464,32.97399999999584,34.49200000000019,31.5259999999995,32.862999999998976,32.91800000000222,32.985000000003595,32.88999999999476,33.02000000000049,33.179000000004066,32.89999999999793,32.83299999999656,-1,0,0.0,728.9479822719862,140
33,38.107000000003666,36.56499999999596,36.78000000000026,36.39500000000595,36.49199999999553,36.59100000000137,36.25499999999704,36.56100000000606,36.460999999995636,36.63000000000238,36.13099999999747,36.41100000000108,36.27699999999834,36.31899999999888,36.39800000000548,36.231999999998266,36.34699999999924,36.383999999998196,36.31200000000234,36.37799999999913,36.31000000000029,36.30799999999823,36.40000000000043,36.19499999999931,36.29500000000263,36.397999999998376,36.6289999999978,35.97100000000353,36.42599999999874,36.39000000000436,93.34800000000575,0.0,640.2353139165172,139.53325999999998
